item_base;item_add;support;confidence;lift
frozenset({'10.0'});frozenset({'Simples'});0.005564302583553997;0.9810725552050473;2.0028529204295604
frozenset({'146.0'});frozenset({'Simples'});0.0007335575753238388;1.0;2.041493169698298
frozenset({'155.0'});frozenset({'Simples'});0.0006083160380734274;1.0;2.041493169698298
frozenset({'156.0'});frozenset({'Simples'});0.001234523724325485;0.9857142857142859;2.012328981559751
frozenset({'251.0'});frozenset({'Simples'});0.003649896228440564;0.9855072463768116;2.0119063121664387
frozenset({'308.0'});frozenset({'Colisão frontal'});0.00016102483360767194;0.5;7.464209401709402
frozenset({'308.0'});frozenset({'Simples'});0.0003220496672153439;1.0;2.041493169698298
frozenset({'330.0'});frozenset({'Simples'});0.0005546410935375367;1.0;2.041493169698298
frozenset({'349.0'});frozenset({'Simples'});0.0001252415372504115;1.0;2.041493169698298
frozenset({'354.0'});frozenset({'Curva'});0.0008230158162169899;0.5348837209302326;3.0615177603924795
frozenset({'359.0'});frozenset({'Simples'});0.00017891648178630214;1.0;2.041493169698298
frozenset({'361.0'});frozenset({'Simples'});0.0006440993344306878;1.0;2.041493169698298
frozenset({'410.0'});frozenset({'Simples'});0.0003220496672153439;1.0;2.041493169698298
frozenset({'412.0'});frozenset({'Simples'});0.0003220496672153439;1.0;2.041493169698298
frozenset({'415.0'});frozenset({'Simples'});0.0007156659271452086;1.0;2.041493169698298
frozenset({'418.0'});frozenset({'Simples'});0.00041150790810849495;1.0;2.041493169698298
frozenset({'419.0'});frozenset({'Simples'});0.00017891648178630214;1.0;2.041493169698298
frozenset({'420.0'});frozenset({'Simples'});0.00016102483360767194;1.0;2.041493169698298
frozenset({'421.0'});frozenset({'Simples'});0.0001252415372504115;1.0;2.041493169698298
frozenset({'424.0'});frozenset({'Simples'});0.0013060903170400058;1.0;2.041493169698298
frozenset({'427.0'});frozenset({'Simples'});0.0011987404279682244;0.9852941176470588;2.0114712113203814
frozenset({'432.0'});frozenset({'Simples'});0.0001252415372504115;1.0;2.041493169698298
frozenset({'436.0'});frozenset({'Rotatória'});0.00010734988907178129;0.7499999999999999;35.76706484641638
frozenset({'436.0'});frozenset({'Simples'});0.00014313318542904174;1.0;2.041493169698298
frozenset({'447.0'});frozenset({'Dupla'});0.0001252415372504115;1.0;2.3718226182898365
frozenset({'467.0'});frozenset({'Dupla'});0.001234523724325485;0.9324324324324325;2.2115643332702533
frozenset({'468.0'});frozenset({'Simples'});0.0008766907607528806;0.9800000000000001;2.000663306304332
frozenset({'469.0'});frozenset({'Simples'});0.00044729120446575536;1.0;2.041493169698298
frozenset({'472.0'});frozenset({'Simples'});0.0017891648178630214;0.9900990099009901;2.0212803660379186
frozenset({'488.0'});frozenset({'Dupla'});0.0004830745008230158;0.9;2.134640356460853
