,items,support,ordered_statistics
18,"frozenset({'Dupla', 'Colisão traseira', 'Tarde', 'Condutor deixou de manter distância do veículo da frente'})",0.012431951832036063,"[OrderedStatistic(items_base=frozenset({'Dupla', 'Condutor deixou de manter distância do veículo da frente', 'Tarde'}), items_add=frozenset({'Colisão traseira'}), confidence=0.7483568075117372, lift=3.907828180562838)]"
19,"frozenset({'sexta-feira', 'Colisão traseira', 'Condutor deixou de manter distância do veículo da frente'})",0.010669328799388542,"[OrderedStatistic(items_base=frozenset({'sexta-feira', 'Condutor deixou de manter distância do veículo da frente'}), items_add=frozenset({'Colisão traseira'}), confidence=0.7459105779716467, lift=3.8950542675885234)]"
20,"frozenset({'Céu Claro', 'Colisão traseira', 'Tarde', 'Condutor deixou de manter distância do veículo da frente'})",0.016440749348765386,"[OrderedStatistic(items_base=frozenset({'Céu Claro', 'Condutor deixou de manter distância do veículo da frente', 'Tarde'}), items_add=frozenset({'Colisão traseira'}), confidence=0.7454031117397455, lift=3.8924043406795916)]"
21,"frozenset({'Simples', 'Acessar a via sem observar a presença dos outros veículos', 'Colisão transversal', 'Tarde'})",0.017329860082047763,"[OrderedStatistic(items_base=frozenset({'Simples', 'Acessar a via sem observar a presença dos outros veículos', 'Tarde'}), items_add=frozenset({'Colisão transversal'}), confidence=0.7441393168117884, lift=5.9669827969339515)]"
22,"frozenset({'Colisão traseira', 'Tarde', 'Condutor deixou de manter distância do veículo da frente'})",0.025519037888595986,"[OrderedStatistic(items_base=frozenset({'Condutor deixou de manter distância do veículo da frente', 'Tarde'}), items_add=frozenset({'Colisão traseira'}), confidence=0.7439745338790359, lift=3.884944480935987)]"
23,"frozenset({'Manhã', 'Colisão traseira', 'Condutor deixou de manter distância do veículo da frente'})",0.022477343274735218,"[OrderedStatistic(items_base=frozenset({'Manhã', 'Condutor deixou de manter distância do veículo da frente'}), items_add=frozenset({'Colisão traseira'}), confidence=0.7420185375901134, lift=3.8747305063423134)]"
24,"frozenset({'Manhã', 'Dupla', 'Colisão traseira', 'Condutor deixou de manter distância do veículo da frente'})",0.01182361290926391,"[OrderedStatistic(items_base=frozenset({'Manhã', 'Dupla', 'Condutor deixou de manter distância do veículo da frente'}), items_add=frozenset({'Colisão traseira'}), confidence=0.740234375, lift=3.865413826413212)]"
25,"frozenset({'Simples', 'Manhã', 'Acessar a via sem observar a presença dos outros veículos', 'Colisão transversal'})",0.01182361290926391,"[OrderedStatistic(items_base=frozenset({'Simples', 'Manhã', 'Acessar a via sem observar a presença dos outros veículos'}), items_add=frozenset({'Colisão transversal'}), confidence=0.7323671497584541, lift=5.872586066774826)]"
26,"frozenset({'Simples', 'Acessar a via sem observar a presença dos outros veículos', 'Colisão transversal'})",0.03656272910199816,"[OrderedStatistic(items_base=frozenset({'Simples', 'Acessar a via sem observar a presença dos outros veículos'}), items_add=frozenset({'Colisão transversal'}), confidence=0.7265964042157471, lift=5.826312555080341)]"
27,"frozenset({'Simples', 'Acessar a via sem observar a presença dos outros veículos', 'Céu Claro', 'Colisão transversal'})",0.02461432872139637,"[OrderedStatistic(items_base=frozenset({'Simples', 'Acessar a via sem observar a presença dos outros veículos', 'Céu Claro'}), items_add=frozenset({'Colisão transversal'}), confidence=0.7255172413793103, lift=5.817659140411032)]"
28,"frozenset({'Simples', 'Acessar a via sem observar a presença dos outros veículos', 'Reta', 'Colisão transversal'})",0.021541437239701134,"[OrderedStatistic(items_base=frozenset({'Simples', 'Acessar a via sem observar a presença dos outros veículos', 'Reta'}), items_add=frozenset({'Colisão transversal'}), confidence=0.7053115423901941, lift=5.655636982000369)]"
29,"frozenset({'Sem Vítimas', 'Reta', 'Incêndio'})",0.012743920510380757,"[OrderedStatistic(items_base=frozenset({'Incêndio'}), items_add=frozenset({'Sem Vítimas', 'Reta'}), confidence=0.6976942783945346, lift=6.310451819073817), OrderedStatistic(items_base=frozenset({'Reta', 'Incêndio'}), items_add=frozenset({'Sem Vítimas'}), confidence=0.9611764705882353, lift=5.3596644648987715)]"
30,"frozenset({'Reta', 'Transitar na contramão', 'Colisão frontal'})",0.011714423871843268,"[OrderedStatistic(items_base=frozenset({'Reta', 'Transitar na contramão'}), items_add=frozenset({'Colisão frontal'}), confidence=0.6877289377289378, lift=10.161238642282662)]"
